,train,val,test
0,656653,926032,849293
1,724256,923997,703007
2,725518,1004418,796053
3,1009636,972944,1008362
4,885977,843878,798199
5,811303,837768,877131
6,799700,1010557,836574
7,851072,886429,848464
8,1014227,892660,851458
9,704898,P037389,962602
10,827866,1006443,P042000
11,827645,1005979,P018437
12,783419,938584,933963
13,830272,P023486,947506
14,918244,P029078,997767
15,857489,919118,990241
16,839219,936937,938687
17,780706,983299,835990
18,1003672,985448,949652
19,793260,950100,938686
20,852684,1004878,919393
21,903026,943889,949875
22,998559,938323,1011551
23,791062,1011116,1009757
24,1005167,P044560,1007449
25,968493,P046093,1006705
26,789390,826524,835505
27,887299,828460,830019
28,880439,1005991,999078
29,981680,1004351,1003482
30,897093,1000559,1002794
31,901890,1003947,969641
32,772698,P009159,1010735
33,765345,821353,P042036
34,814328,903372,921084
35,921083,904539,960528
36,978284,985937,P034988
37,790381,996502,1008559
38,H275050,1008050,1010699
39,H227571,977693,1006516
40,P039350,982781,988730
41,P022642,985442,984722
42,721854,H306677,H387167
43,793399,H261781,772223
44,763168,880581,980233
45,909779,933922,960397
46,889652,P039657,P044583
47,844566,P036931,969569
48,861764,P048012,P046716
49,1010733,P032724,P040029
50,888175,980333,909736
51,863768,977833,P037285
52,888375,,
53,886428,,
54,817314,,
55,850226,,
56,836119,,
57,1013936,,
58,870601,,
59,861273,,
60,822666,,
61,847183,,
62,881374,,
63,867054,,
64,810896,,
65,827967,,
66,851455,,
67,865470,,
68,1008875,,
69,829173,,
70,848350,,
71,834676,,
72,868773,,
73,993991,,
74,1000243,,
75,1003010,,
76,962315,,
77,920446,,
78,P042620,,
79,P040265,,
80,P038713,,
81,P041632,,
82,P034544,,
83,P044024,,
84,P035798,,
85,P015155,,
86,944078,,
87,879907,,
88,887991,,
89,880932,,
90,974447,,
91,884292,,
92,895205,,
93,980232,,
94,951252,,
95,878011,,
96,968212,,
97,983300,,
98,997984,,
99,893630,,
100,922982,,
101,904782,,
102,878363,,
103,P043600,,
104,P047020,,
105,916007,,
106,1008241,,
107,985765,,
108,997278,,
109,966745,,
110,927790,,
111,1004468,,
112,936440,,
113,1007647,,
114,922392,,
115,917948,,
116,948316,,
117,978425,,
118,968464,,
119,990924,,
120,916648,,
121,977805,,
122,927576,,
123,973948,,
124,H357369,,
125,P016026,,
126,P036652,,
127,P034827,,
128,P021444,,
129,P038207,,
130,929545,,
131,965061,,
132,728872,,
133,927217,,
134,883494,,
135,H206919,,
136,H246967,,
137,H292434,,
138,952492,,
139,981679,,
140,944642,,
141,980120,,
142,979539,,
143,982478,,
144,979534,,
145,975736,,
146,984533,,
147,991784,,
148,P039603,,
149,P036929,,
150,964479,,
151,943102,,
152,927577,,
153,1007869,,
154,932285,,
155,916205,,
156,1009351,,
157,949278,,
158,944866,,
159,954136,,
160,917815,,
161,924871,,
162,940759,,
163,1009801,,
164,916802,,
165,1005003,,
166,931363,,
167,934149,,
168,929928,,
169,1009525,,
170,1000052,,
171,952728,,
172,940189,,
173,934859,,
174,1008867,,
175,949398,,
176,927219,,
177,1007475,,
178,940429,,
179,1005005,,
180,1006514,,
181,1006975,,
182,1007542,,
183,1008741,,
184,1008477,,
185,1004459,,
186,1009805,,
187,1005470,,
188,1005791,,
189,1011549,,
190,1003486,,
191,1009676,,
192,1005925,,
193,1006916,,
194,1003662,,
195,1011035,,
196,1003509,,
197,1010983,,
198,1010937,,
199,P045712,,
200,P045266,,
201,P044605,,
202,1008742,,
203,1009119,,
204,831693,,
205,1003210,,
206,833549,,
207,1001020,,
208,1001980,,
209,840820,,
210,850896,,
211,1011957,,
212,826983,,
213,847101,,
214,843113,,
215,837858,,
216,840830,,
217,824378,,
218,820835,,
219,1002020,,
220,1009006,,
221,1006229,,
222,1000661,,
223,1003996,,
224,1011075,,
225,1000899,,
226,1002998,,
227,1004166,,
228,1001004,,
229,1006224,,
230,1007983,,
231,1005233,,
232,1009218,,
233,1010736,,
234,1010990,,
235,1006982,,
236,1002328,,
237,999085,,
238,1003479,,
239,1010976,,
240,1010788,,
241,1002594,,
242,999974,,
243,1008227,,
244,P043459,,
245,1001270,,
246,1010012,,
247,1005337,,
248,816086,,
249,905932,,
250,868621,,
251,940805,,
252,963253,,
253,941954,,
254,991927,,
255,869149,,
256,886469,,
257,917197,,
258,825916,,
259,862542,,
260,861265,,
261,909763,,
262,1003396,,
263,910230,,
264,945185,,
265,978155,,
266,972896,,
267,997862,,
268,976918,,
269,981091,,
270,P009234,,
271,867574,,
272,1005707,,
273,998715,,
274,942986,,
275,953645,,
276,849155,,
277,902688,,
278,880814,,
279,939946,,
280,997600,,
281,862666,,
282,708669,,
283,702377,,
284,1004876,,
285,862672,,
286,732778,,
287,798714,,
288,993453,,
289,1005314,,
290,989265,,
291,980623,,
292,989680,,
293,940048,,
294,993613,,
295,1008423,,
296,996809,,
297,989011,,
298,950274,,
299,1011725,,
300,1004642,,
301,981227,,
302,990259,,
303,1002073,,
304,987991,,
305,1007903,,
306,1009410,,
307,995345,,
308,996313,,
309,1009561,,
310,1006657,,
311,P046359,,
312,1000596,,
313,P042563,,
314,1000669,,
315,976148,,
316,977002,,
317,1006238,,
318,980237,,
319,1003774,,
320,976785,,
321,976786,,
322,1003743,,
323,1008001,,
324,986769,,
325,983671,,
326,987994,,
327,1002227,,
328,972927,,
329,985447,,
330,P042411,,
331,P042457,,
332,P038503,,
333,P043265,,
334,P044116,,
335,P037560,,
336,1002747,,
337,1002750,,
338,905949,,
339,977038,,
340,H285848,,
341,H310088,,
342,H263188,,
343,H387298,,
344,H298645,,
345,H299908,,
346,PH000626,,
347,637399,,
348,749254,,
349,968692,,
350,882203,,
351,966819,,
352,957530,,
353,948795,,
354,930831,,
355,957098,,
356,870229,,
357,960376,,
358,956972,,
359,1000905,,
360,878010,,
361,937684,,
362,916803,,
363,939948,,
364,H310280,,
365,H383379,,
366,H345417,,
367,P013083,,
368,P024152,,
369,975310,,
370,P036227,,
371,P039573,,
372,P041291,,
373,P036045,,
374,P043688,,
375,P045239,,
376,980020,,
377,P040264,,
378,P044644,,
379,P035081,,
380,P039656,,
381,P039499,,
382,P036387,,
383,P038699,,
384,P040970,,
385,P041610,,
386,P042523,,
387,P043487,,
388,P043687,,
389,P045451,,
390,P033214,,
391,P035860,,
392,P036213,,
393,P037147,,
394,P041321,,
395,P046629,,
396,P039093,,
397,P044465,,
398,994039,,
399,952892,,
400,869515,,
401,863493,,
402,979306,,
403,1005451,,
404,936383,,
405,1002809,,
406,921954,,
407,971893,,
408,929405,,
409,923956,,
410,P047314,,
411,P008476,,
412,923048,,
413,P036930,,
