,train,val,test
0,656653,724256,926032
1,725518,843878,P022642
2,1009636,793260,1004418
3,885977,880439,1005167
4,849293,703007,790381
5,811303,888375,836119
6,799700,886429,822666
7,851072,827967,837768
8,1014227,817314,844566
9,704898,P038713,P041632
10,827866,962602,993991
11,827645,879907,933963
12,783419,P047020,895205
13,830272,927790,1004468
14,918244,P029078,947506
15,857489,H357369,968464
16,839219,P021444,919118
17,1008362,927217,728872
18,780706,964479,P036929
19,1003672,975736,950100
20,796053,952728,949398
21,852684,940189,943102
22,798199,1011551,917815
23,903026,1005005,1005925
24,998559,P045712,1007449
25,791062,P044605,P044560
26,968493,833549,1003210
27,789390,824378,1001020
28,972944,1008227,1010990
29,923997,1005991,999078
30,887299,1006982,1002328
31,981680,978155,981091
32,897093,998715,825916
33,901890,976918,869149
34,772698,798714,953645
35,765345,849155,708669
36,814328,1008423,993613
37,921083,996502,1008050
38,978284,990259,989011
39,H275050,P042457,972927
40,H227571,1002747,1003743
41,P039350,985442,986769
42,721854,H306677,637399
43,793399,PH000626,H310088
44,763168,957530,882203
45,909779,H383379,933922
46,889652,P043688,P039657
47,861764,P045451,P036213
48,851458,P040264,P039499
49,1010733,P036387,P044583
50,888175,869515,980333
51,863768,923048,979306
52,848464,,
53,892660,,
54,886428,,
55,877131,,
56,850226,,
57,1013936,,
58,870601,,
59,861273,,
60,847183,,
61,881374,,
62,867054,,
63,810896,,
64,851455,,
65,865470,,
66,836574,,
67,1008875,,
68,1010557,,
69,829173,,
70,848350,,
71,834676,,
72,868773,,
73,1000243,,
74,1003010,,
75,962315,,
76,1006443,,
77,920446,,
78,P042620,,
79,P040265,,
80,P037389,,
81,P042000,,
82,P034544,,
83,P044024,,
84,P035798,,
85,P015155,,
86,944078,,
87,887991,,
88,880932,,
89,974447,,
90,884292,,
91,1005979,,
92,980232,,
93,951252,,
94,878011,,
95,968212,,
96,938584,,
97,983300,,
98,997984,,
99,893630,,
100,922982,,
101,904782,,
102,878363,,
103,P018437,,
104,P043600,,
105,916007,,
106,1008241,,
107,985765,,
108,997278,,
109,997767,,
110,966745,,
111,936937,,
112,990241,,
113,936440,,
114,1007647,,
115,922392,,
116,917948,,
117,948316,,
118,978425,,
119,990924,,
120,916648,,
121,977805,,
122,927576,,
123,973948,,
124,P016026,,
125,P036652,,
126,P023486,,
127,P034827,,
128,P038207,,
129,929545,,
130,965061,,
131,938687,,
132,983299,,
133,883494,,
134,835990,,
135,H206919,,
136,H246967,,
137,H292434,,
138,952492,,
139,981679,,
140,985448,,
141,949652,,
142,944642,,
143,980120,,
144,979539,,
145,982478,,
146,979534,,
147,984533,,
148,991784,,
149,P039603,,
150,938686,,
151,927577,,
152,1007869,,
153,932285,,
154,916205,,
155,1009351,,
156,1004878,,
157,949875,,
158,949278,,
159,944866,,
160,954136,,
161,924871,,
162,940759,,
163,938323,,
164,1009801,,
165,916802,,
166,1005003,,
167,931363,,
168,943889,,
169,934149,,
170,929928,,
171,919393,,
172,1009525,,
173,1000052,,
174,934859,,
175,1008867,,
176,927219,,
177,1007475,,
178,940429,,
179,1006514,,
180,1006975,,
181,1007542,,
182,1008741,,
183,1008477,,
184,1004459,,
185,1009805,,
186,1005470,,
187,1005791,,
188,1011549,,
189,1009757,,
190,1003486,,
191,1009676,,
192,1006916,,
193,1003662,,
194,1011035,,
195,1003509,,
196,1010983,,
197,1010937,,
198,1006705,,
199,P045266,,
200,P046093,,
201,1011116,,
202,1008742,,
203,1009119,,
204,835505,,
205,831693,,
206,828460,,
207,1001980,,
208,840820,,
209,826524,,
210,850896,,
211,1011957,,
212,826983,,
213,847101,,
214,843113,,
215,837858,,
216,840830,,
217,820835,,
218,830019,,
219,1000559,,
220,1002020,,
221,1009006,,
222,1006229,,
223,1000661,,
224,1003996,,
225,1011075,,
226,1000899,,
227,1002998,,
228,1004166,,
229,1001004,,
230,1006224,,
231,1007983,,
232,1005233,,
233,1009218,,
234,1010736,,
235,1002794,,
236,1003482,,
237,999085,,
238,1003479,,
239,1010976,,
240,1010788,,
241,1002594,,
242,999974,,
243,1004351,,
244,P043459,,
245,1001270,,
246,1010012,,
247,1005337,,
248,816086,,
249,905932,,
250,969641,,
251,868621,,
252,940805,,
253,963253,,
254,941954,,
255,991927,,
256,886469,,
257,1010735,,
258,917197,,
259,862542,,
260,861265,,
261,909763,,
262,1003396,,
263,910230,,
264,945185,,
265,972896,,
266,821353,,
267,1003947,,
268,997862,,
269,P042036,,
270,P009234,,
271,P009159,,
272,867574,,
273,1005707,,
274,942986,,
275,902688,,
276,880814,,
277,939946,,
278,997600,,
279,862666,,
280,702377,,
281,1004876,,
282,903372,,
283,862672,,
284,732778,,
285,921084,,
286,993453,,
287,960528,,
288,904539,,
289,1005314,,
290,989265,,
291,980623,,
292,989680,,
293,940048,,
294,996809,,
295,950274,,
296,1011725,,
297,1004642,,
298,1008559,,
299,981227,,
300,1002073,,
301,985937,,
302,987991,,
303,1007903,,
304,1009410,,
305,995345,,
306,996313,,
307,1009561,,
308,1006657,,
309,P046359,,
310,1010699,,
311,P034988,,
312,1000596,,
313,P042563,,
314,1000669,,
315,976148,,
316,977002,,
317,1006238,,
318,980237,,
319,1003774,,
320,984722,,
321,976785,,
322,976786,,
323,1006516,,
324,1008001,,
325,983671,,
326,987994,,
327,1002227,,
328,982781,,
329,988730,,
330,985447,,
331,977693,,
332,P042411,,
333,P038503,,
334,P043265,,
335,P044116,,
336,P037560,,
337,1002750,,
338,905949,,
339,977038,,
340,772223,,
341,H285848,,
342,H261781,,
343,H263188,,
344,H387298,,
345,H387167,,
346,H298645,,
347,H299908,,
348,749254,,
349,968692,,
350,966819,,
351,948795,,
352,930831,,
353,880581,,
354,957098,,
355,870229,,
356,960376,,
357,960397,,
358,956972,,
359,1000905,,
360,878010,,
361,937684,,
362,980233,,
363,916803,,
364,939948,,
365,H310280,,
366,H345417,,
367,P013083,,
368,P024152,,
369,969569,,
370,975310,,
371,P046716,,
372,P036227,,
373,P039573,,
374,P041291,,
375,P036045,,
376,P045239,,
377,980020,,
378,P048012,,
379,P044644,,
380,P035081,,
381,P039656,,
382,P040029,,
383,P038699,,
384,P040970,,
385,P041610,,
386,P042523,,
387,P043487,,
388,P043687,,
389,P033214,,
390,P035860,,
391,P037147,,
392,P041321,,
393,P036931,,
394,P032724,,
395,P046629,,
396,P039093,,
397,P044465,,
398,994039,,
399,952892,,
400,863493,,
401,1005451,,
402,936383,,
403,1002809,,
404,921954,,
405,909736,,
406,971893,,
407,929405,,
408,977833,,
409,923956,,
410,P037285,,
411,P047314,,
412,P008476,,
413,P036930,,
