,train,val,test
0,724256,704898,656653
1,725518,972944,903026
2,1009636,918244,830272
3,885977,923997,796053
4,849293,909779,921083
5,811303,848350,848464
6,799700,877131,886428
7,851072,870601,836119
8,1014227,861764,847183
9,926032,P041632,P042620
10,827866,P034544,P037389
11,827645,P047020,P043600
12,783419,983300,893630
13,843878,936937,978425
14,857489,P036652,917948
15,839219,919118,997767
16,1008362,966745,997278
17,780706,H246967,H206919
18,1003672,985448,984533
19,793260,P036929,982478
20,852684,927577,934859
21,798199,919393,931363
22,998559,1005003,934149
23,791062,P044560,1008477
24,1005167,1006514,1010937
25,968493,1008741,1010983
26,789390,835505,1001020
27,1004418,830019,840830
28,887299,1008227,P043459
29,880439,1006982,1002594
30,981680,1005991,1003479
31,897093,1003396,976918
32,901890,825916,868621
33,772698,1003947,816086
34,765345,708669,953645
35,814328,997600,732778
36,978284,1002073,993613
37,703007,1011725,985937
38,790381,989265,1004642
39,H275050,983671,986769
40,H227571,P037560,988730
41,P039350,984722,977693
42,P022642,H310088,637399
43,721854,977038,H298645
44,793399,939948,H310280
45,763168,P024152,916803
46,889652,P035860,P038699
47,844566,P044644,P042523
48,837768,994039,P039499
49,851458,P043687,P043487
50,1010733,P036930,1005451
51,888175,977833,923048
52,863768,,
53,888375,,
54,892660,,
55,817314,,
56,850226,,
57,886429,,
58,1013936,,
59,861273,,
60,822666,,
61,881374,,
62,867054,,
63,810896,,
64,827967,,
65,851455,,
66,865470,,
67,836574,,
68,1008875,,
69,1010557,,
70,829173,,
71,834676,,
72,868773,,
73,993991,,
74,1000243,,
75,1003010,,
76,962315,,
77,1006443,,
78,920446,,
79,962602,,
80,P040265,,
81,P042000,,
82,P038713,,
83,P044024,,
84,P035798,,
85,P015155,,
86,944078,,
87,879907,,
88,887991,,
89,880932,,
90,974447,,
91,884292,,
92,1005979,,
93,895205,,
94,980232,,
95,951252,,
96,878011,,
97,968212,,
98,938584,,
99,997984,,
100,922982,,
101,904782,,
102,878363,,
103,P018437,,
104,933963,,
105,916007,,
106,1008241,,
107,985765,,
108,927790,,
109,1004468,,
110,990241,,
111,936440,,
112,1007647,,
113,922392,,
114,948316,,
115,968464,,
116,990924,,
117,916648,,
118,947506,,
119,977805,,
120,927576,,
121,973948,,
122,H357369,,
123,P016026,,
124,P023486,,
125,P034827,,
126,P021444,,
127,P038207,,
128,P029078,,
129,929545,,
130,965061,,
131,938687,,
132,983299,,
133,728872,,
134,927217,,
135,883494,,
136,835990,,
137,H292434,,
138,952492,,
139,981679,,
140,949652,,
141,944642,,
142,980120,,
143,979539,,
144,950100,,
145,979534,,
146,975736,,
147,991784,,
148,P039603,,
149,938686,,
150,964479,,
